page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/food-and-nutrition/6-holiday-foods-to-keep-away-from-your-pet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,6-holiday-foods-to-keep-away-from-your-pet,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/food-and-nutrition/portion-control-counts-tips-for-maintaining-a-healthy-weight,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,portion-control-counts-tips-for-maintaining-a-healthy-weight,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/food-and-nutrition/3-reasons-your-pet-may-need-a-special-diet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,3-reasons-your-pet-may-need-a-special-diet,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/general/25-cute-dogs-breeds-names,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,25-cute-dogs-breeds-names,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/pet-parenting/what-instagram-pet-parents-learned-during-quarantine,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,what-instagram-pet-parents-learned-during-quarantine,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/pet-parenting/best-pet-podcasts,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,best-pet-podcasts,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/training-and-behavior/yes-you-can-make-your-cat-exercise,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,yes-you-can-make-your-cat-exercise,,True,False,False,False,False,False,False,3,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/grooming/pro-tips-for-cutting-cat-nails-a-step-by-step-guide,True,Set the canonical to the normalized self URL for eligible pages.,,How to Trim Cat Nails: Step-by-Step Tips From a Pro | Chewy,59,"Save time and the stress of getting in the car and going to a groomer by learning how to calmly trim your cat's nails, and what to do if you cut the quick.",155,how to trim a cat's nails,How to Trim Cat Nails: Step-by-Step Tips From a Professional Groomer,1,pro-tips-for-cutting-cat-nails-a-step-by-step-guide,False,False,False,False,False,False,False,False,1,322,3,,,,,,,1,1,25.0,0,0,1,0,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/small-pet/rabbit/best-velveteen-rabbit-quotes,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,best-velveteen-rabbit-quotes,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/fish/freshwater-fish/tips-on-keeping-the-mandarin-dragonet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,tips-on-keeping-the-mandarin-dragonet,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/fish/freshwater-fish/freshwater-aquarium-cycling,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,freshwater-aquarium-cycling,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/horse/health-and-wellness/watering-horses,True,Set the canonical to the normalized self URL for eligible pages.,,Watering Horses: Everything You Need to Know | Chewy,52,Is your horse properly hydrated? Find out everything you need to know about watering horses in our guide.,105,horse watering,Watering Horses: Everything You Need to Know,1,watering-horses,False,False,False,False,False,False,False,False,1,317,3,,,,,,,2,2,9.0,1,0,0,1,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/small-pet/ferret/ferret-body-language,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,ferret body language,,0,ferret-body-language,,True,False,False,False,False,False,False,1,0,3,,,,,,,2,2,,0,0,0,2,6.0
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/food-and-nutrition/how-to-feed-a-cat-a-rotational-diet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,cat food rotation,,0,how-to-feed-a-cat-a-rotational-diet,,True,False,False,False,False,False,False,1,0,3,,,,,,,1,1,18.0,0,1,0,0,5.0
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/food-and-nutrition/what-is-catnip-insight-into-your-cats-favorite-treat,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,what-is-catnip-insight-into-your-cats-favorite-treat,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/food-and-nutrition/nutrition-pet-diet-tips-10-ways-to-revamp-your-pets-diet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,nutrition-pet-diet-tips-10-ways-to-revamp-your-pets-diet,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/food-and-nutrition/nutrition-food-treats-7-human-food-trends-that-pets-love-too,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,nutrition-food-treats-7-human-food-trends-that-pets-love-too,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/are-poinsettias-poisonous-to-cats-dogs,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,are-poinsettias-poisonous-to-cats-dogs,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/food-and-nutrition/6-superfoods-for-cats-yes-they-do-exist,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,6-superfoods-for-cats-yes-they-do-exist,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/general/is-this-normal-my-cat-is-afraid-of-my-new-dog,True,Set the canonical to the normalized self URL for eligible pages.,,How to Introduce Cats and Dogs | Chewy,38,Adding a new pet to your home? Find out how to introduce cats and dogs safely and gradually by following our trainer’s step-by-step guide.,138,how to introduce cats and dogs,How to Introduce Cats and Dogs,1,is-this-normal-my-cat-is-afraid-of-my-new-dog,False,False,False,False,False,False,False,False,1,327,3,,,,,,,6,4,9.0,1,2,0,3,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/health-and-wellness/health-wellness-exercise-play-5-ways-to-prevent-cat-dehydration,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,health-wellness-exercise-play-5-ways-to-prevent-cat-dehydration,,True,False,False,False,False,False,False,10,0,3,,,,,,,,,,,,,,4.0
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/bird/health-and-wellness/older-macaw-begins-to-lay-eggs,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,macaw eggs,,0,older-macaw-begins-to-lay-eggs,,True,False,False,False,False,False,False,1,0,3,,,,,,,3,2,,0,0,0,3,1.0
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/pet-parenting/5-fun-ways-to-celebrate-summer-with-your-pet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,5-fun-ways-to-celebrate-summer-with-your-pet,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/health-and-wellness/how-to-bottle-feed-kittens,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,how-to-bottle-feed-kittens,,True,False,False,False,False,False,False,3,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/heatstroke-in-dogs,True,Set the canonical to the normalized self URL for eligible pages.,,"Heatstroke in Dogs: Signs, Treatment, and Prevention | Chewy",60,"Heatstroke in dogs is a life-threatening emergency caused by overheating. Learn the warning signs, how it’s treated, and how to protect your dog.",145,,"Heatstroke in Dogs: Signs, Treatment, and Prevention",1,heatstroke-in-dogs,False,False,False,False,False,False,False,False,1,321,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/small-pet/guinea-pig/guinea-pig-dental-problems,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,guinea-pig-dental-problems,,True,False,False,False,False,False,False,4,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/pet-parenting/creating-a-zen-space-for-your-dog-to-alleviate-anxiety,True,Set the canonical to the normalized self URL for eligible pages.,,Alleviate Dog Anxiety by Creating a Zen Space for Your Pooch | Chewy,68,Does your dog get anxious the moment you walk out the door? Does the sound of thunder make your dog tremble in fear? Learn simple ways you can create a Zen space for your canine companion to alleviate dog anxiety and stress.,224,safe space for dogs with anxiety,4 Ways to Create a Safe Space for Dogs With Anxiety,1,creating-a-zen-space-for-your-dog-to-alleviate-anxiety,False,False,False,False,False,False,False,False,1,324,3,,,,,,,1,1,1.0,1,0,0,0,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/food-and-nutrition/the-role-of-treats-in-training-your-pet,True,Set the canonical to the normalized self URL for eligible pages.,,The Role of Treats in Training Your Pet | Chewy,47,"Treats can be a useful training tool, so long as they’re used to reinforce good behavior and not given in excess.",113,,The Role of Treats in Training Your Pet,1,the-role-of-treats-in-training-your-pet,False,False,False,False,False,False,False,False,1,313,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/bird/cockatiel/my-cockatiel-laid-an-egg-so-now-what,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,cockatiel egg,,0,my-cockatiel-laid-an-egg-so-now-what,,True,False,False,False,False,False,False,2,0,3,,,,,,,10,8,,0,0,0,10,7.0
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/training-and-behavior/my-younger-cat-attacks-my-older-cat-what-can-i-do,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,my-younger-cat-attacks-my-older-cat-what-can-i-do,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/fish/betta-fish/what-size-betta-fish-tank-do-i-need,True,Set the canonical to the normalized self URL for eligible pages.,,What Size Betta Tank Do I Need? A Complete Betta Fish Tank Size Guide | Chewy,77,"Thinking about getting pet betta fish? Learn what size fish tank they need to live a full, healthy life.",104,betta fish tank,What Size Betta Tank Do I Need? A Complete Betta Fish Tank Size Guide,1,what-size-betta-fish-tank-do-i-need,False,False,False,False,False,False,False,False,1,319,3,,,,,,,28,27,9.46,16,7,1,4,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/fish/general/aquarium-fish-stress,True,Set the canonical to the normalized self URL for eligible pages.,,"Fish Stress: Signs, Causes and Treatment | Chewy",48,Stressful conditions can lead to sick fish—and it can even be lethal. Find out how to treat and prevent fish stress.,116,how to tell if betta is stressed,"Fish Stress: Signs, Causes, and Treatment",1,aquarium-fish-stress,False,False,False,False,False,False,False,False,1,326,3,,,,,,,8,7,9.12,4,4,0,0,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/food-and-nutrition/what-human-foods-can-cats-eat,True,Set the canonical to the normalized self URL for eligible pages.,,What Human Foods Can Cats Eat? | Chewy,38,Searching for a tasty treat for your cat? Look no further than your own pantry. Here are 28 human foods safe for cats to enjoy in moderation.,141,what does cat eat,What Human Foods Can Cats Eat? 28 Human Foods Safe for Cats,1,what-human-foods-can-cats-eat,False,False,False,False,False,False,False,False,1,334,4,,,,,,,7,7,19.25,0,2,2,3,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/training-and-behavior/why-do-dogs-circle-before-lying-down,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,why-do-dogs-circle-before-lying-down,,True,False,False,False,False,False,False,3,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/how-can-an-animal-chiropractor-help-your-pet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,how-can-an-animal-chiropractor-help-your-pet,,True,False,False,False,False,False,False,4,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/health-pet-safety-injury-prevention-how-to-keep-your-dog-warm-outside,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,health-pet-safety-injury-prevention-how-to-keep-your-dog-warm-outside,,True,False,False,False,False,False,False,3,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/dog-arthritis-10-natural-remedies-for-managing-arthritis-in-dogs,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,dog-arthritis-10-natural-remedies-for-managing-arthritis-in-dogs,,True,False,False,False,False,False,False,4,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/pet-aromatherapy-need-know,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,pet-aromatherapy-need-know,,True,False,False,False,False,False,False,3,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/dogs-like-hugs,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,dogs-like-hugs,,True,False,False,False,False,False,False,3,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/health-wellness-6-ways-to-naturally-freshen-your-dogs-breath,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,dog bad breath home remedy,,0,health-wellness-6-ways-to-naturally-freshen-your-dogs-breath,,True,False,False,False,False,False,False,3,0,4,,,,,,,5,5,13.8,2,2,1,0,37.0
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/health-and-wellness/health-wellness-chamomile-for-dogs-4-ways-to-use-it,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,health-wellness-chamomile-for-dogs-4-ways-to-use-it,,True,False,False,False,False,False,False,1,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/general/best-cat-carriers,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,best-cat-carriers,,True,False,False,False,False,False,False,2,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/general/how-many-kittens-are-in-a-litter,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,how-many-kittens-are-in-a-litter,,True,False,False,False,False,False,False,3,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/training-and-behavior/why-do-cats-eat-plants,True,Set the canonical to the normalized self URL for eligible pages.,,Why Do Cats Eat Plants? Is This Normal? | Chewy,47,"Cats eating plants is perfectly normal—and common—behavior, but why do cats eat plants? Here are some reasons why.",114,how to stop cats from eating plants,Why Does My Cat Eat Plants? Is This Normal?,1,why-do-cats-eat-plants,False,False,False,False,False,False,False,False,1,332,4,,,,,,,3,3,8.33,2,1,0,0,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/training-and-behavior/training-training-tips-genius-ways-to-keep-your-cat-off-the-counter,True,Set the canonical to the normalized self URL for eligible pages.,,How To Keep Cats Off Counters | Chewy,37,"Want to know how to keep cats off counters? Discover TK expert-backed tips to stop your cat from jumping on countertops and tables, once and for all.",149,how to keep cats off countertops,How To Keep Cats off Counters,1,training-training-tips-genius-ways-to-keep-your-cat-off-the-counter,False,False,False,False,False,False,False,False,1,322,4,,,,,,,5,5,13.6,0,5,0,0,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/training-and-behavior/training-training-tips-genius-ways-to-keep-your-cat-off-the-counter,True,Set the canonical to the normalized self URL for eligible pages.,,How To Keep Cats Off Counters | Chewy,37,"Want to know how to keep cats off counters? Discover TK expert-backed tips to stop your cat from jumping on countertops and tables, once and for all.",149,how to keep cats off countertops,How To Keep Cats off Counters,1,training-training-tips-genius-ways-to-keep-your-cat-off-the-counter,False,False,False,False,False,False,False,False,1,322,4,,,,,,,5,5,13.6,0,5,0,0,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/bird/health-and-wellness/the-parrot-beak,True,Set the canonical to the normalized self URL for eligible pages.,,The Parrot Beak | Chewy,23,"BeChewy explores the parrot beak anatomy, as well as diseases that affect the beak and how to take care of your bird's beak.",124,parrot beak,The Parrot Beak,1,the-parrot-beak,False,False,False,False,False,False,False,False,1,309,4,,,,,,,5,5,7.0,4,1,0,0,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/chewy-claus/form,True,Set the canonical to the normalized self URL for eligible pages.,,Chewy Claus | Chewy,19,Chewy Claus is here to make your pets' holiday wishes come true. Pen a letter to Chewy Claus and your wish may get fulfilled at Chewy's workshop.,145,,,0,form,,False,False,False,False,False,False,False,1,0,4,,,,,,,,,,,,,,1.0
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/health-and-wellness/cat-laxatives,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,cat-laxatives,,True,False,False,False,False,False,False,3,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/cat/health-and-wellness/give-cat-supplements,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,give-cat-supplements,,True,False,False,False,False,False,False,3,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/food-and-nutrition/feed-dog-alkaline-diet,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,feed-dog-alkaline-diet,,True,False,False,False,False,False,False,2,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/food-and-nutrition/nutrition-pet-diet-tips-10-superfoods-you-should-feed-your-dog,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,nutrition-pet-diet-tips-10-superfoods-you-should-feed-your-dog,,True,False,False,False,False,False,False,5,0,4,,,,,,,,,,,,,,
Editorial,Index,Missing self-referencing canonical,https://www.chewy.com/education/dog/general/behavior-breeds-pomsky,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,behavior-breeds-pomsky,,True,False,False,False,False,False,False,2,0,4,,,,,,,,,,,,,,
